"","country","iso3c","date","confirmed","deaths","recovered","soc_dist","mov_rest","pub_health","soc_econ","lockdown","gtrends_score","gtrends_country_score","region","income","population","land_area_skm","pop_density","pop_largest_city","life_expectancy","gdp_capita","timestamp"
"12","Antigua and Barbuda","ATG",2020-02-02,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"13","Antigua and Barbuda","ATG",2020-02-03,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"14","Antigua and Barbuda","ATG",2020-02-04,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"15","Antigua and Barbuda","ATG",2020-02-05,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"16","Antigua and Barbuda","ATG",2020-02-06,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"17","Antigua and Barbuda","ATG",2020-02-07,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"18","Antigua and Barbuda","ATG",2020-02-08,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"19","Antigua and Barbuda","ATG",2020-02-09,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"20","Antigua and Barbuda","ATG",2020-02-10,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"21","Antigua and Barbuda","ATG",2020-02-11,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"22","Antigua and Barbuda","ATG",2020-02-12,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"23","Antigua and Barbuda","ATG",2020-02-13,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"24","Antigua and Barbuda","ATG",2020-02-14,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"25","Antigua and Barbuda","ATG",2020-02-15,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"26","Antigua and Barbuda","ATG",2020-02-16,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"27","Antigua and Barbuda","ATG",2020-02-17,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"28","Antigua and Barbuda","ATG",2020-02-18,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"29","Antigua and Barbuda","ATG",2020-02-19,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"30","Antigua and Barbuda","ATG",2020-02-20,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"31","Antigua and Barbuda","ATG",2020-02-21,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"32","Antigua and Barbuda","ATG",2020-02-22,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"33","Antigua and Barbuda","ATG",2020-02-23,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"34","Antigua and Barbuda","ATG",2020-02-24,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"35","Antigua and Barbuda","ATG",2020-02-25,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"36","Antigua and Barbuda","ATG",2020-02-26,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"37","Antigua and Barbuda","ATG",2020-02-27,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"38","Antigua and Barbuda","ATG",2020-02-28,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"39","Antigua and Barbuda","ATG",2020-02-29,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"40","Antigua and Barbuda","ATG",2020-03-01,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"41","Antigua and Barbuda","ATG",2020-03-02,0,0,0,0,0,0,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"42","Antigua and Barbuda","ATG",2020-03-03,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"43","Antigua and Barbuda","ATG",2020-03-04,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"44","Antigua and Barbuda","ATG",2020-03-05,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"45","Antigua and Barbuda","ATG",2020-03-06,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"46","Antigua and Barbuda","ATG",2020-03-07,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"47","Antigua and Barbuda","ATG",2020-03-08,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"48","Antigua and Barbuda","ATG",2020-03-09,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"49","Antigua and Barbuda","ATG",2020-03-10,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"50","Antigua and Barbuda","ATG",2020-03-11,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"51","Antigua and Barbuda","ATG",2020-03-12,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"52","Antigua and Barbuda","ATG",2020-03-13,1,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"53","Antigua and Barbuda","ATG",2020-03-14,1,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"54","Antigua and Barbuda","ATG",2020-03-15,1,0,0,1,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"55","Antigua and Barbuda","ATG",2020-03-16,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"56","Antigua and Barbuda","ATG",2020-03-17,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"57","Antigua and Barbuda","ATG",2020-03-18,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"58","Antigua and Barbuda","ATG",2020-03-19,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"59","Antigua and Barbuda","ATG",2020-03-20,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"60","Antigua and Barbuda","ATG",2020-03-21,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"61","Antigua and Barbuda","ATG",2020-03-22,1,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"62","Antigua and Barbuda","ATG",2020-03-23,3,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"63","Antigua and Barbuda","ATG",2020-03-24,3,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"64","Antigua and Barbuda","ATG",2020-03-25,3,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"65","Antigua and Barbuda","ATG",2020-03-26,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"66","Antigua and Barbuda","ATG",2020-03-27,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"67","Antigua and Barbuda","ATG",2020-03-28,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"68","Antigua and Barbuda","ATG",2020-03-29,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"69","Antigua and Barbuda","ATG",2020-03-30,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"70","Antigua and Barbuda","ATG",2020-03-31,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"71","Antigua and Barbuda","ATG",2020-04-01,7,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"72","Antigua and Barbuda","ATG",2020-04-02,9,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"73","Antigua and Barbuda","ATG",2020-04-03,15,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"74","Antigua and Barbuda","ATG",2020-04-04,15,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"75","Antigua and Barbuda","ATG",2020-04-05,15,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"76","Antigua and Barbuda","ATG",2020-04-06,15,0,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"77","Antigua and Barbuda","ATG",2020-04-07,19,1,0,3,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",96286,440,218.831818181818,NA,76.752,15134.8841569088,2020-04-08 01:14:29
"78","Bahamas","BHS",2020-01-22,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"79","Bahamas","BHS",2020-01-23,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"80","Bahamas","BHS",2020-01-24,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"81","Bahamas","BHS",2020-01-25,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"82","Bahamas","BHS",2020-01-26,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"83","Bahamas","BHS",2020-01-27,0,0,0,0,0,1,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"84","Bahamas","BHS",2020-01-28,0,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"85","Bahamas","BHS",2020-01-29,0,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"86","Bahamas","BHS",2020-01-30,0,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"87","Bahamas","BHS",2020-01-31,0,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"88","Bahamas","BHS",2020-02-01,0,0,0,0,0,2,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"89","Bahamas","BHS",2020-02-02,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"90","Bahamas","BHS",2020-02-03,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"91","Bahamas","BHS",2020-02-04,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"92","Bahamas","BHS",2020-02-05,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"93","Bahamas","BHS",2020-02-06,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"94","Bahamas","BHS",2020-02-07,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"95","Bahamas","BHS",2020-02-08,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"96","Bahamas","BHS",2020-02-09,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"97","Bahamas","BHS",2020-02-10,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"98","Bahamas","BHS",2020-02-11,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"99","Bahamas","BHS",2020-02-12,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"100","Bahamas","BHS",2020-02-13,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"101","Bahamas","BHS",2020-02-14,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"102","Bahamas","BHS",2020-02-15,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"103","Bahamas","BHS",2020-02-16,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"104","Bahamas","BHS",2020-02-17,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"105","Bahamas","BHS",2020-02-18,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"106","Bahamas","BHS",2020-02-19,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"107","Bahamas","BHS",2020-02-20,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"108","Bahamas","BHS",2020-02-21,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"109","Bahamas","BHS",2020-02-22,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"110","Bahamas","BHS",2020-02-23,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"111","Bahamas","BHS",2020-02-24,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"112","Bahamas","BHS",2020-02-25,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"113","Bahamas","BHS",2020-02-26,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"114","Bahamas","BHS",2020-02-27,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"115","Bahamas","BHS",2020-02-28,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"116","Bahamas","BHS",2020-02-29,0,0,0,0,0,3,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"117","Bahamas","BHS",2020-03-01,0,0,0,0,0,4,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"118","Bahamas","BHS",2020-03-02,0,0,0,0,0,5,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"119","Bahamas","BHS",2020-03-03,0,0,0,0,0,5,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"120","Bahamas","BHS",2020-03-04,0,0,0,0,0,5,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"121","Bahamas","BHS",2020-03-05,0,0,0,0,0,5,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"122","Bahamas","BHS",2020-03-06,0,0,0,0,0,5,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"123","Bahamas","BHS",2020-03-07,0,0,0,0,1,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"124","Bahamas","BHS",2020-03-08,0,0,0,0,1,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"125","Bahamas","BHS",2020-03-09,0,0,0,0,1,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"126","Bahamas","BHS",2020-03-10,0,0,0,0,1,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"127","Bahamas","BHS",2020-03-11,0,0,0,0,1,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"128","Bahamas","BHS",2020-03-12,0,0,0,1,2,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"129","Bahamas","BHS",2020-03-13,0,0,0,2,2,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"130","Bahamas","BHS",2020-03-14,0,0,0,2,2,6,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"131","Bahamas","BHS",2020-03-15,0,0,0,3,2,7,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"132","Bahamas","BHS",2020-03-16,1,0,0,5,2,12,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"133","Bahamas","BHS",2020-03-17,1,0,0,5,2,13,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"134","Bahamas","BHS",2020-03-18,1,0,0,5,2,15,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
"135","Bahamas","BHS",2020-03-19,3,0,0,5,4,15,0,0,NA,NA,"Latin America & Caribbean ","High income",385640,10010,38.5254745254745,NA,73.554,27261.2144822129,2020-04-08 01:14:29
